sort		id	pop	HI	IH
200	Mignolo_Cerretano1	Mignolo_Cerretano1	CUL	0.493236715	0.856038647
678	Souidi1	Souidi1	CUL	0.499271845	0.848058252
677	Sivigliana_da_Olio1	Sivigliana_da_Olio1	CUL	0.484526112	0.837524178
124	Gremigno_di_Fauglia1	Gremigno_di_Fauglia1	CUL	0.495883777	0.831961259
710	Zeletni1	Zeletni1	CUL	0.496122152	0.830344159
617	Olivastra_di_Montalcino1	Olivastra_di_Montalcino1	CUL	0.524915336	0.82535075
623	Olivo_di_Mandanici1	Olivo_di_Mandanici1	CUL	0.500245339	0.823846909
213	Mortellino1	Mortellino1	CUL	0.527092404	0.818093856
18	Aimel1	Aimel1	CUL	0.493433852	0.815661479
1	Aaleth1	Aaleth1	CUL	0.495647969	0.813346228
129	Hamra1	Hamra1	CUL	0.494915254	0.812590799
78	Chemlal_de_Kabilye	Chemlal_de_Kabilye	CUL	0.498938992	0.811140584
681	Tabelout1	Tabelout1	CUL	0.498063892	0.810261375
625	Ottobratica1	Ottobratica1	CUL	0.497244489	0.807114228
41	Berri_Meslal-5321	Berri_Meslal-5321	CUL	0.553165183	0.795746785
81	Ciciarello1	Ciciarello1	CUL	0.521126761	0.777076251
707	Zalmati-2991	Zalmati-2991	CUL	0.505128205	0.776923077
96	Dhokar	Dhokar	CUL	0.512769154	0.759138708
97	Dhokar1	Dhokar1	CUL	0.515691489	0.754787234
40	Berri_Meslal-3971	Berri_Meslal-3971	CUL	0.442158761	0.740077444
638	Picholine2	Picholine2	CUL	0.45031661	0.729176814
690	Trillo1	Trillo1	CUL	0.56268151	0.728460794
614	Ogliarola_del_Bradano1	Ogliarola_del_Bradano1	CUL	0.545254403	0.724559687
59	CTO_P10_N27_S45_L004	CTO_P10_N27_S45_L004	CUL	0.399468342	0.680038666
57	CTO_E8_N4_S8_L004	CTO_E8_N4_S8_L004	CUL	0.416911765	0.679901961
115	Galega_Vulgar	Galega_Vulgar	CUL	0.58718593	0.666834171
51	Bottone_di_gallo1	Bottone_di_gallo1	CUL	0.58199903	0.659388646
618	Olivastra_di_Populonia1	Olivastra_di_Populonia1	CUL	0.43213228	0.647087858
150	Khadraya1	Khadraya1	CUL	0.605352798	0.632603406
113	Frantoio	Frantoio	CUL	0.606951872	0.625668449
23	Alameno_de_Montilla	Alameno_de_Montilla	CUL	0.657963446	0.625587467
162	Lazzero_di_prata1	Lazzero_di_prata1	CUL	0.419121197	0.622887494
47	Blanqueta	Blanqueta	CUL	0.61165524	0.616062684
228	Nociara1	Nociara1	CUL	0.59141882	0.609458801
193	Mavreya	Mavreya	CUL	0.621455324	0.608346709
708	Zarza	Zarza	CUL	0.626269956	0.607160135
95	Cuoricino1	Cuoricino1	CUL	0.628180039	0.605675147
166	Lechin_de	Lechin_de	CUL	0.628401781	0.600692726
49	Borriolenca	Borriolenca	CUL	0.676499033	0.594777563
111	Farga	Farga	CUL	0.653214113	0.589173514
100	Dressi1	Dressi1	CUL	0.631811487	0.577319588
692	Vaddarica1	Vaddarica1	CUL	0.641304348	0.571497585
160	Lastrino1	Lastrino1	CUL	0.447253281	0.568789499
86	Coratina	Coratina	CUL	0.545674239	0.557757371
660	Rossellino_Cerretano1	Rossellino_Cerretano1	CUL	0.489294404	0.557177616
671	Sayali1	Sayali1	CUL	0.662077295	0.553140097
168	Lentisca-2061	Lentisca-2061	CUL	0.606345178	0.552791878
172	Llumeta	Llumeta	CUL	0.552644347	0.552159146
161	Lazzero1	Lazzero1	CUL	0.66796875	0.541992188
651	Rapasayo	Rapasayo	CUL	0.66344294	0.541586074
71	Cavalieri1	Cavalieri1	CUL	0.652706844	0.541368744
28	Arbequina	Arbequina	CUL	0.655086849	0.538957816
135	Ifiri1	Ifiri1	CUL	0.673607748	0.531719128
25	Allora1	Allora1	CUL	0.612597276	0.529669261
44	Biancolilla-831	Biancolilla-831	CUL	0.660387232	0.527472527
207	Morcone1	Morcone1	CUL	0.513285024	0.517391304
709	Zeboudj_boudoudane1	Zeboudj_boudoudane1	CUL	0.694977843	0.514524865
103	El	El	CUL	0.674754902	0.514215686
20	Akenane1	Akenane1	CUL	0.680339806	0.501456311
636	Piangente1	Piangente1	CUL	0.607419981	0.496120272
32	Azul	Azul	CUL	0.609219487	0.4924044
661	Rossello1	Rossello1	CUL	0.689946834	0.491541808
92	Crastu1	Crastu1	CUL	0.689360664	0.491459248
79	Chetoui	Chetoui	CUL	0.69471387	0.491270611
58	CTO_P10_F06_S43_L004	CTO_P10_F06_S43_L004	CUL	0.697967086	0.490803485
165	Leccio_Maremmano1	Leccio_Maremmano1	CUL	0.694878049	0.486341463
82	Cima_di_Melfi1	Cima_di_Melfi1	CUL	0.590358527	0.485949612
167	Lechin_de_Granada12	Lechin_de_Granada12	CUL	0.701358564	0.484716157
199	Mignolo1	Mignolo1	CUL	0.625605034	0.483543078
105	Emilia1	Emilia1	CUL	0.704766537	0.480544747
631	POR_P43_06_01_S55_L004	POR_P43_06_01_S55_L004	CUL	0.702800579	0.478512796
204	Moraiolo	Moraiolo	CUL	0.699607651	0.478175576
99	Dolce_di_Rossano1	Dolce_di_Rossano1	CUL	0.699383062	0.477846326
215	Neb_Jmel-2831	Neb_Jmel-2831	CUL	0.703721605	0.477525375
60	Cairo_71	Cairo_71	CUL	0.63546798	0.476847291
659	Rossellino1	Rossellino1	CUL	0.703360935	0.474427667
205	Morchiaio1	Morchiaio1	CUL	0.704842615	0.47409201
653	Razzaio1	Razzaio1	CUL	0.702421308	0.473123487
164	Leccino2	Leccino2	CUL	0.635259835	0.472073822
69	Cassanese1	Cassanese1	CUL	0.701120163	0.471486762
163	Leccino	Leccino	CUL	0.635700389	0.469844358
50	Bosana	Bosana	CUL	0.706532417	0.469056974
674	Sevillenca	Sevillenca	CUL	0.714910151	0.46624575
119	Gerboui-2981	Gerboui-2981	CUL	0.708271787	0.465288035
43	Bez_El_Anza1	Bez_El_Anza1	CUL	0.698405027	0.464958917
7	Abou_Monkar1	Abou_Monkar1	CUL	0.694336883	0.46321394
696	Vera	Vera	CUL	0.705996132	0.46131528
73	Cerasuola1	Cerasuola1	CUL	0.703793774	0.460116732
30	Azeboudj_de_Khirane1	Azeboudj_de_Khirane1	CUL	0.586365842	0.456574478
159	Lastovka	Lastovka	CUL	0.718430034	0.455875183
646	Pikrolia1	Pikrolia1	CUL	0.580250272	0.453210011
142	Kalokerida	Kalokerida	CUL	0.716101695	0.453140578
106	Empeltre	Empeltre	CUL	0.720188026	0.452746165
670	Santa_Martinenga1	Santa_Martinenga1	CUL	0.7190984	0.451284537
192	Maurino	Maurino	CUL	0.648003895	0.448880234
